%Area %Perimeter %Compactness %Length %Width %Asymm %lengthOfGroove %Class
6.96058448917071E-02 7.00571181054418E-02 6.89814098529891E-02 7.04382750548622E-02 6.96730109977084E-02 3.83862422940892E-02 6.63347126369764E-02 1
6.78725407594103E-02 6.87824939889681E-02 6.97813090946828E-02 6.78837722808788E-02 7.01147782775852E-02 1.75944145229099E-02 6.29798536070604E-02 1
6.51813580276864E-02 6.65164955596816E-02 7.16741399735421E-02 6.46692544361055E-02 7.01989244261331E-02 4.66476667950233E-02 6.13151318914581E-02 1
6.31287610289139E-02 6.58083710505296E-02 7.09217594986817E-02 0.065072596979366 7.10824589858867E-02 3.90430082585986E-02 6.10609759043433E-02 1
7.36198123559733E-02 7.07652426145938E-02 7.15474232619867E-02 6.91549124172151E-02 7.49321452819557E-02 0.023418891629217 0.065762861665968 1
6.55918774274409E-02 6.70829951670032E-02 7.08900803207928E-02 6.58303920606434E-02 6.96730109977084E-02 4.25515211742673E-02 6.29798536070604E-02 1
6.70058886932619E-02 0.068404827584087 6.96862715610162E-02 6.79937747926772E-02 0.068558074529448 6.19779670718613E-02 6.63220048376207E-02 1
6.43603192281774E-02 6.65637038602917E-02 7.05732885419043E-02 6.62459571052149E-02 6.94626456263385E-02 4.66649501098789E-02 6.35389967787131E-02 1
7.58548624213033E-02 7.29840327432702E-02 6.92744422484611E-02 7.39828004350305E-02 7.28916011796677E-02 3.52579623052418E-02 7.46837368136993E-02 1
0.074988210355155 7.19926584304574E-02 7.03277749132656E-02 7.19171977134842E-02 7.37330626651473E-02 3.40308469505005E-02 7.03122538353239E-02 1
6.96058448917071E-02 7.01043264060519E-02 6.88705327303781E-02 6.98393724906269E-02 6.82004533981191E-02 7.85180993885851E-02 6.75292457764163E-02 1
6.39954130950623E-02 6.68469536639526E-02 6.96625121775996E-02 6.64659621288115E-02 6.73379553755026E-02 2.96754516069119E-02 6.35517045780688E-02 1
6.33568273621108E-02 6.61860374554106E-02 7.03277749132656E-02 6.64781846301224E-02 6.72958823012286E-02 6.88912930140656E-02 6.02095533475085E-02 1
6.28550814290776E-02 6.63748706578512E-02 6.93694797821276E-02 6.69670846825594E-02 6.63913112043381E-02 5.42004753868815E-02 0.061912398461178 1
0.06267262836252 6.63276623572411E-02 6.92506828650444E-02 6.70037521864922E-02 6.55077766445845E-02 5.06746791563573E-02 6.13151318914581E-02 1
6.65497560268681E-02 6.74134532712742E-02 7.12227116886258E-02 0.065402604514761 7.01147782775852E-02 7.23306726703122E-02 6.07559887198054E-02 1
6.38129600285047E-02 6.52890797438181E-02 7.27274726383466E-02 6.25669842106264E-02 7.11666051344346E-02 9.04608699537429E-02 6.07559887198054E-02 1
7.15672153572008E-02 6.96322433999506E-02 7.17374983293198E-02 6.75537647454839E-02 7.39223914993802E-02 2.76360204539616E-02 6.41235555490772E-02 1
6.70515019599013E-02 6.70829951670032E-02 7.24898788041802E-02 6.36181193233659E-02 7.29126377168047E-02 3.05396173496874E-02 5.90785592048474E-02 1
5.80200751653024E-02 6.40616639279545E-02 0.068791334785656 6.38747918508954E-02 6.41404017306802E-02 7.08961575373048E-02 6.24461260341192E-02 1
6.45883855613743E-02 6.79799528785958E-02 6.79835157494901E-02 6.91549124172151E-02 6.58233247016394E-02 5.30943432361288E-02 6.57755694653238E-02 1
6.43603192281774E-02 6.73190366700539E-02 6.90764473866557E-02 6.74682072363074E-02 6.66437496499819E-02 4.64575503316127E-02 6.63220048376207E-02 1
7.24338674233492E-02 7.03403679091026E-02 7.11831127162648E-02 6.86660123647781E-02 7.37751357394213E-02 1.32234641959512E-02 6.46954065200857E-02 1
5.51008261003815E-02 6.24565817072099E-02 6.86170993072672E-02 6.23225341844079E-02 6.17632730342004E-02 2.44558905205476E-02 6.30433926038391E-02 1
6.84655132257224E-02 6.96794517005607E-02 6.85616607459617E-02 7.07560600889463E-02 6.82635630095301E-02 3.09544169062196E-02 6.35517045780688E-02 1
7.38478786891702E-02 7.15677837249662E-02 0.070082261284627 0.071293850146627 7.19659935456402E-02 1.56068333145262E-02 6.74402911809261E-02 1
0.059388473164484 6.49586216395471E-02 6.84349440344063E-02 6.59403945724417E-02 6.36565613765295E-02 5.82966210076376E-02 6.13151318914581E-02 1
5.81113016985811E-02 6.45337469340559E-02 6.78251198600458E-02 6.59403945724417E-02 6.21840037769402E-02 4.32774203981988E-02 6.18742750631108E-02 1
6.43603192281774E-02 6.69413702651728E-02 6.98525872449327E-02 6.77248797638368E-02 6.77586861182424E-02 4.75982491120764E-02 6.40218931542313E-02 1
